Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;"Texte ""En stock""";"Texte ""En commande"" (si autorisé)";Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2600655;1;Bougie Pot de fleur XL turquoise, 40h, parfum citronnelle;146,143,142;55,2;1;;0;;;;;2600655;;;;3023676006555;;0;;;;;10;1;;;;;;<p>Dans cette bougie pot de fleur XL turquoise, au parfum de citronnelle et à la forme traditionnelle, nul géranium ou bégonia, mais un bouquet de citronnelle délicat qui embaumera vos soirées tout en vous préservant des insectes estivaux. Cette bougie trouvera naturellement sa place sur votre terrasse d'été.<br>Coordonnée à la bougie pot de fleur (petit modèle) citronnelle, elle donne un  nouveau charme estival à votre balcon ou terrasse.<br>Existe aussi en rose.</p>;bougie parfumée citronnelle,bougie extérieure;Bougie parfumée XL citronnelle turquoise - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie pot de fleur XL turquoise à la citronnelle de la collection Escale Tropicale de Bougies la Française et illuminez votre terrasse ou balcon.;bougie-parfumee-xl-citronnelle-turquoise;;;1;;2016-04-18;1;../import/escale-tropicale/2-600-655-4.jpg,../import/escale-tropicale/2-600-655-653-4.jpg;0;Hauteur:180,Diamètre:200,Poids:2560,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600654;1;Bougie Pot de fleur XL rose 40h, parfum citronnelle;146,143,142;55,2;1;;0;;;;;2600654;;;;3023676006548;;0;;;;;10;1;;;;;;"<p>Comme un clin d'oeil à l'indémodable pot en terre cuite de nos jardins ou balcons, cette bougie pot de fleur XL rose, au parfum citronnelle, est un bouquet de citronnelle à elle seule. Son parfum vous installera automatiquement en été puisqu'il repoussera naturellement les petits nuisibles nocturnes de la belle saison.<br>L’aspect lisse et doux de la cire, la couleur tendre et acidulée, permettront à cet objet de trouver un nouvel usage pour une nouvelle vie, sur votre terrasse et balcon.<br>Pour mettre sa forme en valeur, associez-la à la bougie Coupe Piscine du même ton ; un duo qui fonctionne très bien.<br>Existe aussi en turquoise.</p>";bougie parfumée citronnelle,bougie extérieure;Bougie parfumée XL citronnelle rose - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie pot de fleur XL rose à la citronnelle de la collection Escale Tropicale de Bougies la Française, pour des soirées estivales romantiques à la bougie.;bougie-parfumee-xl-citronnelle-rose;;;1;;2016-04-18;1;../import/escale-tropicale/2-600-650-654-4.jpg,../import/escale-tropicale/2-600-654-4.jpg;0;Hauteur:180,Diamètre:200,Poids:2560,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600653;1;Bougie Pot de fleur turquoise, 40h, parfum citronnelle;146,143,142;20;1;;0;;;;;2600653;;;;3023676006531;;0;;;;;20;1;;;;;;<p>En souvenir des petits pots d'antan qui ont vu germer nos premières graines, cette bougie pot de fleur turquoise, à la citronnelle, donne envie de se recréer son jardin miniature, où que l'on soit. Quand la chaleur nous incite à passer une partie de la nuit dehors, elle se fait lumière intime et parfum évocateur.<br>Pas de lagon en vue ? Peu importe, ce pot semble contenir un concentré de mer des Caraïbes, idéal pour transformer votre patio en île paradisiaque.<br>Joignez lui la Coupe piscine de même teinte, et plongez dans le « Bel été ».<br>Existe aussi en vert, rose et orange.</p>;bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle turquoise - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie pot de fleur turquoise à la citronnelle de la collection Escale Tropicale de Bougies la Française, et changez la décoration de votre terrasse ou balcon.;bougie-parfumee-citronnelle-turquoise;;;1;;2016-04-18;1;../import/escale-tropicale/2-600-655-653-4.jpg,../import/escale-tropicale/2-600-653-1.jpg,../import/escale-tropicale/2-600-653-4.jpg;0;Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600651;1;Bougie Pot de fleur vert, 40h, parfum citronnelle;146,143,142;20;1;;0;;;;;2600651;;;;3023676006517;;0;;;;;20;1;;;;;;<p>Par sa teinte très Bio, très nature, la bougie pot de fleur verte à la citronnelle affirme la tendance de l'été. Que ce soit pour une soirée improvisée au bord d'un lac ou un apéro à deux sur un balcon parisien, elle joint l'utile à l'agréable en alliant lumière tamisée et parfum protecteur.<br>N’attendez pas la nuit tombée, car cette petite bougie vous dévoile son spectre lumineux même entre chien et loup.<br>Pour en effet crescendo, renforcé son halo chaleureux avec une bougie pot de fleur XL à la citronnelle.<br>Existe aussi en rose, turquoise et orange.</p>;bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle vert - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie pot de fleur vert à la citronnelle de la collection Escale Tropicale de Bougies la Française et passez de belles soirées en extérieur cet été à la bougie.;bougie-parfumee-citronnelle-vert;;;1;;2016-04-18;1;../import/escale-tropicale/2-600-651-1.jpg,../import/escale-tropicale/2-600-651-2.jpg;0;Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600650;1;Bougie Pot de fleur rose, 40h, parfum citronnelle;146,143,142;20;1;;0;;;;;2600650;;;;3023676006500;;0;;;;;20;1;;;;;;<p>On pense aux petits pots de notre enfance où l'on faisait nos premières boutures, en découvrant la bougie pot de fleur rose à la citronnelle. Cette fois-ci, on y fait pousser une flamme incandescente aux senteurs de citronnelle fraîche. Marquée de son sceau certifiant de sa qualité et de sa longévité, cette bougie déco se rendra indispensable pour les cinq prochains mois.<br>On n’hésite pas à coordonner avec des pots d'autres couleurs, pour réaliser un jardin nocturne personnalisé.<br>Ainsi associées aux bougies pot de fleur XL à la citronnelle, vous assurerez le plaisir des yeux des enfants et des parents.<br>Existe aussi en vert, turquoise et orange.</p>;bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle rose - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie en forme de pot de fleur rose, à la flamme aux senteurs de citronnelle fraîche et illmuniez vos soirées estivales avec Bougies la Française !;bougie-parfumee-citronnelle-rose;;;1;;2016-04-18;1;../import/escale-tropicale/2-600-650-654-4.jpg,../import/escale-tropicale/2-600-650-1.jpg,../import/escale-tropicale/2-600-650-2.jpg;0;Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600652;1;Bougie Pot de fleur orange 40h, parfum citronnelle;146,143,142;20;1;;0;;;;;2600652;;;;3023676006524;;0;;;;;20;1;;;;;;<p>Imaginez un jardin urbain, aux couleurs des pots de terre à l'ancienne, qui s'ouvrirait à la nuit tombante, pour vous offrir une balade lumineuse et olfactive. Avec la bougie pot de fleur orange à la citronnelle, ce concentré d'été est à portée de main et à un craquement d'allumette.<br>Avec sa couleur de généreux fruit de saison estivale, cet accessoire déco par essence se sentira à l’aise en intérieur comme au grand air, allumé ou non.<br>Complété pas une série de bougies pot de fleur de même couleur, vous transformerez votre coin de verdure en véritable orangeraie orientale.<br>Existe aussi en vert, turquoise et rose.</p>;bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle orange - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie en forme de pot de fleur orange, à la citronnelle et illmuniez vos soirées estivales avec Bougies la Française !;bougie-parfumee-citronnelle-orange;;;1;;2016-04-18;1;../import/escale-tropicale/2-600-652-1.jpg,../import/escale-tropicale/2-600-652-4.jpg;0;Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600665;1;Bougie coupe piscine turquoise, 8h, bougie flottante;146,143,142;23,92;1;;0;;;;;2600665;;;;3023676006654;;0;;;;;10;1;;;;;;<p>Avec sa forme de petit bassin tout droit sorti d'une fontaine de jardin italien, la bougie coupe piscine turquoise regorge non pas d'eau, mais de lumière. Elle illuminera vos abords de piscine et vous accompagnera dans son sillage parfumé pour un dernier bain de minuit.<br>Déposée sur une table ou à même le sol, cette petite coupelle arrondie à la nuance douce, possède un charme pas si discret que ça.<br>Il ne vous reste plus qu’à lui associer son indispensable binôme, la bougie coupe piscine rose.<br>Et pour jouer le ton sur ton, placez la tout près d’une bougie pot de fleur citronnelle turquoise.<br>Existe aussi en rose.</p>;bougie décorative, bougie piscine, bougie flottante;Bougie coupe piscine turquoise - Bougies outdoor - Collection Escale Tropicale;;En forme de petit bassin tout droit sorti d'une fontaine de jardin italien, la bougie coupe piscine turquoise décorera votre extérieur.;bougie-coupe-piscine-turquoise;;;1;;2016-04-18;1;"../import/escale-tropicale/2-600-665-1.jpg,../import/escale-tropicale/2-600-665-4.jpg
";0;Diamètre:22,Poids:77,Durée de combustion:8 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600664;1;Bougie coupe piscine rose, 8h, bougie flottante;146,143,142;23,92;1;;0;;;;;2600664;;;;3023676006647;;0;;;;;10;1;;;;;;<p>Qui n'a pas rêvé d'un bain aux pétales de rose ? Offrez-vous un assortiment de cette bougie coupe piscine rose, sensible et raffinée. Parsemée sur le caillebottis de votre piscine, allumées une à une, elles vous guideront vers les spas les plus luxueux où l'on ne songe plus qu'à sa beauté et son bien-être.<br>Tel un service de table, imaginez une coupe par convive, et vous maîtriserez comme personne l’art d’illuminer vos réceptions d’été.<br>Alternez entre elles les deux teintes de la gamme Coupe piscine, pour en effet yin et yang.<br>Existe aussi en turquoise.</p>;bougie décorative, bougie piscine, bougie flottante;Bougie coupe piscine rose - Bougies outdoor - Collection Escale Tropicale;;Offrez-vous une bougie coupe piscine, flottante, et rose, de la collection Escale Tropicale de Bougies la Française pour votre bain, bassin ou piscine.;bougie-coupe-piscine-rose;;;1;;2016-04-18;1;../import/escale-tropicale/2-600-664-1.jpg,../import/escale-tropicale/2-600-664-4.jpg;0;Diamètre:22,Poids:77,Durée de combustion:8 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600715;1;Assortiment 3 bougies, pots céramique XL, 75h, parfum citronnelle;146,143,142;69,6;1;;0;;;;;2600715;;;;3023676007156;;0;;;;;45;1;;;;;;<p>Finesse du décor exotique, ton pastel, motif tapisserie rétro, blancheur de la céramique qui se confond avec celle de la cire citronnelle… C’est tout le charme de cet assortiment de 3 pots en céramique XL, au parfum citronnelle. Un format généreux qui vous fera profiter de la douceur de sa flamme et de son parfum protecteur pendant de longues nuits d’été.<br>Posé à même le sable alors que s’improvise un barbecue sur la plage, sa flamme est un phare, on s’y repère, l'iode s'embaume de citronnelle et la mer se fait lumière.<br>Délimitez le carré des amis en y joignant le pot céramique carré XL, au parfum de citronnelle, et vivez intensément ce moment.</p>;bougie parfumée citronnelle,bougie extérieure;3 bougies parfumées citronnelle  - Bougies outdoor - Collection Escale Tropicale;;Découvrez l'assortiment de 3 bougies parfumées, aux décors tendance, à la citronnelle de la collection Escale Tropicale de Bougies la Française et illuminez votre terrasse ou balcon.;assortiment-bougies-parfumees-xl-citronnelle;;;1;;2016-04-18;1;;0;Hauteur:125,Diamètre:105,Poids:915,Durée de combustion:75 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600710;1;Bougie Pot céramique carré XL, 75h, parfum citronnelle;146,143,142;39,92;1;;0;;;;;2600710;;;;3023676007101;;0;;;;;40;1;;;;;;<p>Comme un grand cache-pot décoré de feuilles de palmes, qui pourrait contenir les premières pousses d'un cocotier géant, ce pot céramique carré Xl, au parfum de citronnelle fait le plein de clarté et d'effluve. Son format spécialement conçu pour un usage extérieur longue durée vous garantit chaleur visuelle et confort olfactif, même pour les nuits les plus courtes...<br>Disposés régulièrement telles des balises lumineuses, ces pots qui vous guident depuis la baie vitrée grande ouverte de votre salon, vers le fond du jardin d’où l’on peut admirer la mer.<br>Intercalés judicieusement avec l’assortiment de 3 bougies en pot céramique, ces pots seront aussi agréables à regarder de jour que de nuit.</p>;bougie parfumée citronnelle,bougie extérieure;Bougie pot céramique XL citronnelle - Bougies outdoor - Collection Escale Tropicale;;Offrez-vous une bougie au parfum citronnelle, en pot céramique XL, de la collection Escale Tropicale de Bougies la Française pour vos nuits d'été.;bougie-parfumee-xl-citronnelle-pot-ceramique;;;1;;2016-04-18;1;;0;Hauteur:160,Diamètre:140,Poids:2400,Durée de combustion:75 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600640;1;Bougie pot de peinture rose, 50h, parfum citronnelle;146,143,142;15,92;1;;0;;;;;2600640;;;;3023676006401;;0;;;;;40;1;;;;;;"<p>""Le bel été"", c'est la saison qui donne envie de tout rafraîchir : les idées, la déco, les ambiances. Comme de grandes brassées de couleurs sur les murs, la bougie pot de peinture rose au parfum de citronnelle, estampillé de son fier flamand, apportera ses effluves de citronnelle quand la fraîcheur du soir se fait attendre.<br>Disposés de manière aléatoire, ces pots de peinture bougies donneront à votre auvent, un cachet d’atelier de peintre de vacances.<br>Jouez l’harmonie colorée en y associant la Bougie ananas silhouette, pour une palette « girly ».<br>Existe aussi en vert, orange et turquoise.</p>";bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle, pot de peinture rose - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie en forme de pot de peinture rose, à la citronnelle et illuminez vos soirées estivales avec la nouvelle collection de Bougies la Française !;bougie-parfumee-pot-peinture-citronnelle-rose;;;1;;2016-04-18;1;;0;Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600642;1;Bougie pot de peinture orange, 50h, parfum citronnelle;146,143,142;15,92;1;;0;;;;;2600642;;;;3023676006425;;0;;;;;40;1;;;;;;"<p>Il regorge de soleil ce pot de peinture orange à la citronnelle. Sa nuance chaude, vitaminée, acidulée est un concentré de ""Bel été"" à lui tout seul. Les délicats pétales de la fleur d’hibiscus en guise d'emblème symbolisent le parfum raffiné de la douce et réconfortante citronnelle.<br>Alignez plusieurs de ces pots oranges, comme on repeindrait un mur entier d’une salle à manger d’été, pour avoir un couché de soleil à toute heure de la journée.<br>Qui se ressemble s’assemble, semble se dire la Bougie perroquet boule, qui rêve de tromper son bec dans ce pot de cire orange !</br>Existe aussi en rose, vert et turquoise.</p>";bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle, pot de peinture orange - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie en forme de pot de peinture orange, à la citronnelle et illuminez vos soirées estivales avec la nouvelle collection de Bougies la Française !;bougie-parfumee-pot-peinture-citronnelle-orange;;;1;;2016-04-18;1;;0;Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600643;1;Bougie pot de peinture turquoise, 50h, parfum citronnelle;146,143,142;15,92;1;;0;;;;;2600643;;;;3023676006432;;0;;;;;40;1;;;;;;"<p>Plongez directement tous vos sens dans un mini lagon des Caraïbes, avec ce pot de peinture turquoise à la citronnelle. Il arbore le mythique palmier aux couleurs du ""Bel été"", les vapeurs de citronnelle transforme votre salon en patio exotique, et vous assure un dépaysement total.<br>Disposé juste au bord de votre piscine, on vient y puiser tout le concentré de pigment qui donne le ton à votre « lagon maison ».<br>Et comme attirée par sa lumière bleutée, la bougie fleur hibiscus se marie idéalement au pot de peinture de même teinte.<br>Existe aussi en rose, vert et orange.</p>";bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle, pot de peinture turquoise - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie pot de peinture turquoise à la citronnelle de la collection Escale Tropicale de Bougies la Française, et changez la décoration de votre terrasse ou balcon.;bougie-parfumee-pot-peinture-citronnelle-turquoise;;;1;;2016-04-18;1;;0;Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
2600641;1;Bougie pot de peinture vert, 50h, parfum citronnelle;146,143,142;15,92;1;;0;;;;;2600641;;;;3023676006418;;0;;;;;40;1;;;;;;"<p>Teinte fraiche par nature, le vert de ce pot de peinture à la citronnelle  donne envie de se plonger au cœur d'une forêt tropicale, à l'abris des rayons d'un soleil trop haut, à l'ombre de grandes feuilles parasols. Sans crainte des petits insectes estivaux, la citronnelle délicatement distillée vous garantit ""Le bel été"".<br>Un pot de peinture entre deux pots de fleurs, pour puiser votre inspiration déco dans ce que la nature fait de mieux.<br>Ne résistez pas et jouez à fond le thème ananas en y associant la bougie ananas bicolore.<br>Existe aussi en rose, orange et turquoise.</p>";bougie parfumée citronnelle,bougie extérieure;Bougie parfumée citronnelle, pot de peinture vert - Bougies outdoor - Collection Escale Tropicale;;Découvrez la bougie pot de peinture vert à la citronnelle de la collection Escale Tropicale de Bougies la Française et passez de belles soirées en extérieur cet été à la bougie.;bougie-parfumee-pot-peinture-citronnelle-vert;;;1;;2016-04-18;1;;0;Hauteur:105,Diamètre:99,Poids:58,Durée de combustion:50 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printemps/Eté 2016;0;;0;0;0;0;0;1
