Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2510450;0;Bougie décorative pomme de pin 25cm blanc;113,78;63,25;1;;0;;;;;2510450;;Bougies la Française;Bougies la Française;3023675104504;;0;;;;;10;1;;;;;;Devenue « la » touche de déco traditionnelle pour Noël, les <strong>pommes de pin</strong> se multiplient sur les tables de fête. Déco Nature qui laisse place à toutes les fantaisies, cette <strong>bougie décorative en forme de pomme de pin</strong> sera parfaite en centre de table. <br/><br/> « Blanche comme neige », cette <a href="/68-bougies-deco">bougie décorative</a> semble être parsemée de cristaux de glace. Accompagnez-la de la <a href="/2510445-bougie-decorative-pomme-de-pin-25cm-beige.html">bougie décorative pomme de pin beige</a> pour une association harmonieuse de couleurs. <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative pomme de pin 25cm blanc;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie pomme de pin, grosse bougie;Déco Nature qui laisse place à toutes les fantaisies, cette bougie décorative en forme de pomme de pin XXL sera parfaite en centre de table.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-450-1.jpg,../import/wood-essentiel/2-510-XXX-5.jpg;0;Hauteur:250,Diamètre:180,Poids:3450,Type de produit:Bougies décoratives,Durée de combustion: +/-220,Tranche de combustion:100 heures et plus, Collection:Wood essentiel;0;;0;0;0;0;0;1
2510445;0;Bougie décorative pomme de pin 25cm beige;113,78;63,25;1;;0;;;;;2510445;;Bougies la Française;Bougies la Française;3023675104450;;0;;;;;10;1;;;;;;En couronne ou en guirlande, la <strong>pomme de pin</strong> devient un objet déco incontournable cette saison ! Loin du luxe et des paillettes, cette <strong>bougie en forme de pomme de pin</strong> vous offrira un décor au plus près du Naturel. <br/><br/> Parfaite pour sublimer votre table de fête, cette <a href="/68-bougies-deco">bougie décorative</a> se présente en version XXL ! Une <strong>bougie décorative</strong> idéale pour magnifier l’ambiance chaleureuse de votre intérieur d’hiver… Et pour encore plus d’effet, associez cette <strong>bougie déco</strong> à la <a href="/2510450-bougie-decorative-pomme-de-pin-25cm-beige.html">bougie décorative pomme de pin blanche</a>.  <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative pomme de pin 25cm beige;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie pomme de pin, grosse bougie;Parfaite pour sublimer votre table de fête, cette bougie décorative en forme de pomme de pin se présente en version XXL !;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-445-1.jpg,../import/wood-essentiel/2-510-XXX-5bis.jpg,../import/wood-essentiel/2-510-XXX-5.jpg;0;Hauteur:250,Diamètre:180,Poids:3450,Type de produit:Bougies décoratives,Durée de combustion: +/-220,Tranche de combustion:100 heures et plus, Collection:Wood essentiel;0;;0;0;0;0;0;1
2700338;0;2 photophores verre pomme de pin 7,8cm ;113,78;14,17;1;;0;;;;;2700338;;Bougies la Française;Bougies la Française;3023677003386;;0;;;;;40;1;;;;;;Faciles à trouver après une ballade dans les sous-bois, les <strong>pommes de pin</strong> deviennent de jolies décorations de Noël. Pour un effet encore plus « traditionnel », mariez votre déco naturelle à ces <strong>photophores en forme de pomme de pin</strong>. En marron brillant et blanc givré, ces <strong>photophores en verre</strong> forment un duo idéal pour votre décoration de table. Il ne vous reste plus qu’à y placer une <a href="/70-bougies-chauffe-plat">bougie chauffe-plat</a> pour donner à votre intérieur un nouvel éclat ! </p>;;2 photophores verre pomme de pin 7,8cm ;Photophore, Photophore verre, photophore noël, photophore pomme de pin, déco Noël;En marron brillant et blanc givré, ces photophores en verre en forme de pommes de pin sont le duo idéal pour votre décoration de table de fêtes.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-700-338-0.jpg,../import/wood-essentiel/2-700-338A-1.jpg,../import/wood-essentiel/2-700-338B-1.jpg,../import/wood-essentiel/2-700-338-5.jpg;0;Hauteur:78,Diamètre:77,Type de produit:Photophores,Collection:Wood essentiel;0;;0;0;0;0;0;1
2510530;0;Bougie parfumée support bois 40h feu de bois;113,78;32,5;1;;0;;;;;2510530;;Bougies la Française;Bougies la Française;3023675105303;;0;;;;;0;1;;;;;;Elaborée dans un contenant en bois, la <strong>bougie parfumée feu de bois</strong> révèle un hymne aux matières brutes et authentiques. Chaleureux et tendance, le bois vous permet de composer un décor moderne autour du naturel… Comme un appel pour un retour à l’essentiel… <br/><br/> Allumez cette <strong>bougie senteur feu de bois</strong> et partagez une pause olfactive cosy avec tous vos invités. Un mariage parfait d’arômes boisés se libère de cet écrin de Nature… Patchouli, cèdre, pin, vétiver et fir balsam se dévoilent à l’unisson. Laissez-vous bercer par la flamme de cette <strong>bougie boisée</strong> au parfum si particulier d’un feu de bois attisé en hiver. <br/><br/> Bougie parfumée fabriquée en France. Parfum de Grasse : Feu de bois. </p>;;Bougie parfumée support bois 40h feu de bois;Bougie, bougie parfumée, bougies déco, bougies décoratives, bougies Noël, bougie bois, grosse bougie, bougie senteur bois;Elaborée dans un contenant en bois, la bougie parfumée feu de bois révèle un hymne aux matières brutes et authentiques.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-530-1.jpg,../import/wood-essentiel/2-510-530-4.jpg,../import/wood-essentiel/2-510-530-535-5.jpg,../import/wood-essentiel/2-510-530-535-5bis.jpg;0;Hauteur:130,Diamètre:140,Poids:180,Type de produit:Bougies parfumées,Durée de combustion: +/-40,Tranche de combustion:35 à 45 heures, Collection:Wood essentiel,Parfum:Feu de bois, Famille olfactive: Boisée;0;;0;0;0;0;0;1
2510535;0;Bougie parfumée support bois 50h bois d’épices;113,78;40,83;1;;0;;;;;2510535;;Bougies la Française;Bougies la Française;3023675105358;;0;;;;;0;1;;;;;;Associée à la douceur des tons beige et blanc, la <strong>bougie parfumée bois d’épices</strong> réchauffe instantanément l’ambiance de votre maison. Dans un rappel à la nature, cette <strong>bougie parfumée en bois</strong> fait resplendir la beauté des choses simples… Pour un intérieur qui revient à l’essentiel… <br/><br/> Une fragrance boisée délicate et subtile aux accents fleuris… Un parfum de légèreté accompagné de multiples facettes. Tandis que le cuir traduit un côté animal, une facette épicée lui apporte du caractère… Dans un final doux et musqué. <br/><br/> Bougie parfumée fabriquée en France. Parfum de Grasse : Bois d’épices. </p>;;Bougie parfumée support bois 50h bois d’épices;Bougie, bougie parfumée, bougies déco, bougies décoratives, bougies Noël, bougie bois, grosse bougie, bougie senteur bois;Dans un rappel à la nature, la bougie parfumée en bois senteur bois d’épices fait resplendir la beauté des choses simples… ;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-535-1.jpg,../import/wood-essentiel/2-510-535-4.jpg,../import/wood-essentiel/2-510-530-535-5.jpg,../import/wood-essentiel/2-510-530-535-5bis.jpg;0;Hauteur:180,Diamètre:170,Poids:330,Type de produit:Bougies parfumées,Durée de combustion: +/-50,Tranche de combustion:45 à 55 heures, Collection:Wood essentiel,Parfum:Bois d'épices, Famille olfactive: Boisée;0;;0;0;0;0;0;1
2510540;0;Bougie parfumée 3 mèches support bois 60h bois précieux;113,78;49,17;1;;0;;;;;2510540;;Bougies la Française;Bougies la Française;3023675105402;;0;;;;;0;1;;;;;;Une <a href="/41-bougies-parfumees">bougie parfumée</a> sans superflu, pour que la beauté des choses simples resplendisse de leurs épures… <br/><br/> Le temps s’arrête, le temps d’une pause salvatrice… Rassemblez votre tribu en un lieu, et dans un décor sublimant le « bien-être » pour que l’alchimie des ingrédients essentiels vous impose un nouveau rythme… Cette année, chez Bougies la Française, la vague du « slow design » prend tout son sens. <br/><br/> Une note délicieuse aux accents boisés complétée par des accents de fruits secs, d’anis et de cyprès se dévoile en tête… Magnifiée par un cœur de vanille, et enrichie par la douceur de l’ambre, du benjoin et du patchouli en fond… Senteur bois précieux, la <strong>bougie parfumée 3 mèches</strong> vous envoie dans une ambiance sublimée.   <br/><br/> Bougie parfumée fabriquée en France. Parfum de Grasse : Bois précieux. </p>;;Bougie parfumée 3 mèches support bois 60h bois précieux;Bougie, bougie parfumée, bougies déco, bougies décoratives, bougies Noël, bougie bois, grosse bougie, bougie senteur bois;Une bougie parfumée 3 mèches en bois sans superflu… Une senteur bois précieux pour que la beauté des choses simples resplendisse de leurs épures;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-540-1.jpg,../import/wood-essentiel/2-510-540-4.jpg,../import/wood-essentiel/2-510-540-0.jpg;0;Hauteur:90,Diamètre:260,Poids:610,Type de produit:Bougies parfumées,Durée de combustion: +/-60,Tranche de combustion:55 à 75 heures, Collection:Wood essentiel,Parfum:Bois précieux, Famille olfactive: Boisée;0;;0;0;0;0;0;1
2700335;0;Bougeoir bois 18,9cm;113,78;18,75;1;;0;;;;;2700335;;Bougies la Française;Bougies la Française;3023677003355;;0;;;;;15;1;;;;;;Le bois sublime les intérieurs… Le bois réchauffe l’ambiance d’une maison…<br/><br/> Matière de prédilection pour une décoration de style scandinave, les <strong>objets déco en bois naturel</strong> donnent de l’allure à votre pièce. <br/><br/> Ce <strong>bougeoir</strong> vous permet d’introduire le bois par petites touches. Pour éviter le total look, ce <strong>bougeoir en bois</strong> s’associe parfaitement aux accessoires de décoration de couleur beige et blanche.  <br/><br/> Pour encore plus de cachet, ce <strong>bougeoir</strong> a conservé son écorce sur sa base ! Effet naturel garanti ! <br/><br/> Ce <strong>bougeoir</strong>  s’utilise avec des <a href="/67-bougies-d-ambiance">bougies cylindriques</a> 20cm</p>;;Bougeoir bois 18,9cm;Bougeoir, bougeoir bois, Bougeoir pour bougies cylindrique, décoration de table;Matière de prédilection pour une décoration de style scandinave, ce photophore en bois naturel donne de l’allure à votre pièce.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-700-335-1.jpg,wood-essentiel/2-700-335-5.jpg;0;Hauteur:119,Diamètre:189,Type de produit:Bougeoirs,Collection:Wood essentiel;0;;0;0;0;0;0;1
2510455;0;3 bougies décoratives animaux 7,5cm beige;113,78;24,88;1;;0;;;;;2510455;;Bougies la Française;Bougies la Française;3023675104559;;0;;;;;60;1;;;;;;En résine, en imprimé textile ou sur de la vaisselle, les animaux se déclinent en de multiples objets déco. Composé de stéarine, ce trio de <a href="/68-bougies-deco">bougies décoratives</a> surprendra vos invités. Tellement mignonnes, ces <strong>bougies beiges en forme de hibou, renard et hérisson</strong> vous promettent une déco de Noël placée sous le signe de la douceur…  <br/><br/> Pour une déco encore plus délicate, mixez vos petits amis de cire avec le <a href="/2510460-3-bougies-decoratives-animaux-7-5cm-blanc.html">trio de bougies décoratives animaux blanc</a> ! <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;3 bougies décoratives animaux 7,5cm beige;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie animal, petite bougie, bougie boule, bougie renard, bougie hérisson, bougie hibou;Tellement mignonnes, ces bougies beiges en forme de hibou, renard et hérisson vous promettent une déco de Noël placée sous le signe de la douceur…  ;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-455-0.jpg,../import/wood-essentiel/2-510-455A-1.jpg,../import/wood-essentiel/2-510-455A-3.jpg,../import/wood-essentiel/2-510-455A-2.jpg,../import/wood-essentiel/2-510-455B-1.jpg,../import/wood-essentiel/2-510-455B-3.jpg,../import/wood-essentiel/2-510-455B-2.jpg,../import/wood-essentiel/2-510-455C-1.jpg,../import/wood-essentiel/2-510-455C-3.jpg,../import/wood-essentiel/2-510-455C-2.jpg,../import/wood-essentiel/2-510-455-5.jpg,../import/wood-essentiel/2-510-455A-5.jpg,../import/wood-essentiel/2-510-455B-5.jpg;0;Hauteur:78,Diamètre:77,Poids:210,Type de produit:Bougies décoratives,Durée de combustion: +/-30,Tranche de combustion:25 à 35 heures, Collection:Wood essentiel;0;;0;0;0;0;0;1
2510460;0;3 bougies décoratives animaux 7,5cm blanc;113,78;24,88;1;;0;;;;;2510460;;Bougies la Française;Bougies la Française;3023675104603;;0;;;;;60;1;;;;;;Ces <strong>petites bougies en forme d’animaux</strong> deviendront le must-have de votre décoration de fête ! Rondes et givrées, ces <a href="/68-bougies-deco">bougies décoratives</a> sont si adorables qu’elles plairont aussi bien aux grands qu’aux petits enfants. <br/><br/> Semblant sortir tout droit d’une forêt enchantée, ces <strong>bougies de Noël</strong> prennent la forme de hibou, renard et hérisson… Pour offrir à votre table de fête la douce magie de Noël… <br/><br/> Pour une déco encore plus chaleureuse, mixez ces <strong>bougies déco</strong> au <a href="/2510455-3-bougies-decoratives-animaux-7-5cm-beige.html">trio de bougies décoratives animaux beiges</a> ! <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;3 bougies décoratives animaux 7,5cm blanc;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie animal, petite bougie, bougie boule, bougie renard, bougie hérisson, bougie hibou;Rondes et givrées, ces bougies décoratives en forme de hibou, renard et hérisson sont si adorables qu’elles plairont aussi bien aux grands qu’aux petits enfants.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-460-0.jpg,../import/wood-essentiel/2-510-460A-1.jpg,../import/wood-essentiel/2-510-460A-3.jpg,../import/wood-essentiel/2-510-460A-2.jpg,../import/wood-essentiel/2-510-460B-1.jpg,../import/wood-essentiel/2-510-460B-3.jpg,../import/wood-essentiel/2-510-460B-2.jpg,../import/wood-essentiel/2-510-460C-1.jpg,../import/wood-essentiel/2-510-460C-3.jpg,../import/wood-essentiel/2-510-460C-2.jpg,../import/wood-essentiel/2-510-460-5.jpg;0;Hauteur:78,Diamètre:77,Poids:210,Type de produit:Bougies décoratives,Durée de combustion: +/-30,Tranche de combustion:25 à 35 heures, Collection:Wood essentiel;0;;0;0;0;0;0;1
2510375;0;Bougie parfumée céramique relief chouette 40h cachemire;113,78;29,08;1;;0;;;;;2510375;;Bougies la Française;Bougies la Française;3023675103750;;0;;;;;0;1;;;;;;Placée sous le signe de la délicatesse et de l’élégance, cette <a href="/41-bougies-parfumees">bougie parfumée</a> s’expose à merveille dans tous les recoins de votre pièce. Gravée d’une chouette en relief, cette <strong>bougie parfumée en céramique « biscuit »</strong> devient la signature d’une ambiance pleine de charme. <br/><br/> L’originalité de cette <strong>bougie parfumée en céramique</strong> réside aussi dans son parfum d’exception. Sa senteur cachemire libère les caresses d’un sillage empli de tendresse. Coriandre et bergamote en tête se mêlent à la douceur florale du jasmin… Tandis que les notes de cèdre, bois de cachemire et feu de bois relèvent la volupté de son parfum…  Un parfum de caractère qui apportera énormément de douceur à vos soirées d’hiver.<br/><br/> Bougie parfumée fabriquée en France. Parfum de Grasse : Cachemire. </p>;;Bougie parfumée céramique relief chouette 40h cachemire;Bougie, bougie parfumée, bougies déco, bougies décoratives, bougies Noël, bougie parfumée céramique, grosse bougie, bougie senteur cachemire;Gravée d’une chouette en relief, cette bougie parfumée en céramique  senteur cachemire devient la signature d’une ambiance pleine de charme.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-375-1.jpg,../import/wood-essentiel/2-510-370-375-5.jpg,../import/wood-essentiel/2-510-370-375-5bis.jpg;0;Hauteur:68,Diamètre:87,Poids:210,Type de produit:Bougies parfumées,Durée de combustion: +/-40,Tranche de combustion:35 à 45 heures, Collection:Wood essentiel,Parfum:Cachemire, Famille olfactive: Boisée;0;;0;0;0;0;0;1
2510370;0;Bougie parfumée céramique relief sapins 40h sous-bois;113,78;24,92;1;;0;;;;;2510370;;Bougies la Française;Bougies la Française;3023675103705;;0;;;;;0;1;;;;;;Illustrée d’un magnifique décor gravé, la <strong>bougie parfumée en céramique senteur sous-bois</strong> devient un bel écho à l’éclatante allure des forêts enneigées… Le pot en porcelaine « biscuit » de cette <a href="/41-bougies-parfumees">bougie parfumée</a> révèle toute sa délicatesse aussi bien au toucher qu’au visuel. Un fini mat qui se démarque pour devenir la pièce phare de votre déco d’hiver ! <br/><br/> Au parfum des sous-bois, cette <strong>bougie parfumée en céramique</strong> vous plonge dans un décor idyllique… Une toile de verts et de bruns profonds se dessine pour vous entraîner dans une balade olfactive au cœur de la forêt. Au départ frais et hespéridé se mêlent un corps floral de jasmins et de roses aux intonations boisées. Le cèdre s’unit peu à peu aux notes ambrées du labdanum, de miel et de vanille… <br/><br/> Bougie parfumée fabriquée en France. Parfum de Grasse : Sous-bois. </p>;;Bougie parfumée céramique relief sapins 40h sous-bois;Bougie, bougie parfumée, bougies déco, bougies décoratives, bougies Noël, bougie parfumée céramique, grosse bougie, bougie senteur forêt;Illustrée d’un magnifique décor gravé, la bougie parfumée en céramique senteur sous-bois devient un bel écho à l’éclatante allure des forêts enneigées…;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-370-1.jpg,../import/wood-essentiel/2-510-370-375-5.jpg,../import/wood-essentiel/2-510-370-375-5bis.jpg;0;Hauteur:98,Diamètre:80,Poids:160,Type de produit:Bougies parfumées,Durée de combustion: +/-35,Tranche de combustion:35 à 45 heures, Collection:Wood essentiel,Parfum:Sous-bois, Famille olfactive: Boisée;0;;0;0;0;0;0;1
2700305;0;Photophore verre laqué étoile 8cm blanc et cuivré;113,78;6,58;1;;0;;;;;2700305;;Bougies la Française;Bougies la Française;3023677003058;;0;;;;;15;1;;;;;;Indispensables en période de fêtes, les bougies illuminent vos soirées d’une lueur douce et chaleureuse. Pour parfaire votre décoration dans les moindres détails, il ne vous reste plus qu’à disposer quelques <strong>photophores</strong> ici ou là. <br/><br/> Bicolore, le <strong>photophore verre laqué blanc et cuivré</strong> agrémente votre décor de manière très tendance ! En plus de son motif étoile ajouré, ce <strong>photophore</strong> s’imprègne de la couleur phare du moment. Extérieur blanc, intérieur cuivré, ce <strong>photophore</strong> sera la « star » de vos soirées !  <br/><br/> Donnez une touche encore plus lumineuse à votre maison en accessoirisant vos escaliers de <a href="/2700310-photophore-verre-laque-etoile-12-5cm-blanc-et-cuivre.html">photophores 12cm blanc et cuivré</a> ! </p>;;Photophore verre laqué étoile 8cm blanc et cuivré;Photophore, Photophore verre, photophore verre laqué, photophore étoile, photophore noël, photophore pomme de pin, déco Noël, photophore cuivre, photophore blanc;Extérieur blanc, intérieur cuivré, ce photophore ajouré d’un motif étoile sera la « star » de vos soirées !;;;;1;;2015-10-01;1;../import/wood-essentiel/2-700-305-1.jpg,../import/wood-essentiel/2-700-310-305-5.jpg,../import/wood-essentiel/2-700-310-305-5bis.jpg;0;Hauteur:80,Diamètre:73,Type de produit:Photophores,Collection:Wood essentiel;0;;0;0;0;0;0;1
2700310;0;Photophore verre laqué étoile 12,5cm blanc;113,78;13,25;1;;0;;;;;2700310;;Bougies la Française;Bougies la Française;3023677003102;;0;;;;;15;1;;;;;;Pour une décoration de fête toujours plus magique, placez <strong>photophores</strong> et bougies dans vos pièces de vie, couloirs et escaliers. Multipliez les sources de lumières tamisées et dressez le décor ! <br/><br/> Idéal pour les périodes de festivités, ce <strong>photophore</strong> s’associe avec le <a href="/2700305-photophore-verre-laque-etoile-8cm-blanc-et-cuivre.html">photophore verre laqué blanc et cuivré 8cm</a>. Perforés d’étoiles et à l’intérieur cuivré, ces <strong>photophores</strong> sont le mixe parfait pour placer vos soirées sous le signe d’une décoration étoilée ! </p>    ;;Photophore verre laqué étoile 12,5cm blanc;Photophore, Photophore verre, photophore verre laqué, photophore étoile, photophore noël, photophore pomme de pin, déco Noël, photophore cuivre, photophore blanc;Perforé d’étoile et à l’intérieur cuivré, ce photophore est parfait pour placer vos soirées sous le signe d’une décoration étoilée !;;;;1;;2015-10-01;1;../import/wood-essentiel/2-700-310-1.jpg,../import/wood-essentiel/2-700-310-305-5.jpg,../import/wood-essentiel/2-700-310-305-5bis.jpg;0;Hauteur:125,Diamètre:100,Type de produit:Photophores,Collection:Wood essentiel;0;;0;0;0;0;0;1
2510430;0;Bougie cylindrique patinée 15cm chouette beige;113,78;18,75;1;;0;;;;;2510430;;Bougies la Française;Bougies la Française;3023675104306;;0;;;;;0;1;;;;;;La <strong>bougie cylindrique patinée chouette beige</strong> sera le fil conducteur de votre décoration cocooning. <br/><br/> Du haut de ses 15cm, cette <strong>bougie pilier</strong> se pare de reliefs « Zentangles » et laisse découvrir la silhouette d’une jolie chouette. Une finition patinée à la main, pour une <a href="/68-bougies-deco">bougie décorative</a> unique envoûtant le regard… <br/><br/> Toute en relief, son aspect patiné a été travaillé à la main pour vous offrir une <strong>bougie déco originale</strong> et unique… Qui se placera volontiers au cœur de votre décor d’hiver. <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie cylindrique patinée 15cm chouette beige;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie cylindrique, bougie chouette, grosse bougie, bougie beige;Du haut de ses 15cm, la bougie cylindrique patinée se pare de reliefs « Zentangles » chouette pour devenir le fil conducteur de votre décoration.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-430-1.jpg,../import/wood-essentiel/2-510-430-3.jpg,../import/wood-essentiel/2-510-430-5.jpg;0;Hauteur:150,Diamètre:75,Type de produit:Bougies cylindriques,Durée de combustion: +/-80,Tranche de combustion:75 à 100 heures,Collection:Wood essentiel;0;;0;0;0;0;0;1
2510420;0;Bougie décorative patinée chouette 9,5cm beige;113,78;8,33;1;;0;;;;;2510420;;Bougies la Française;Bougies la Française;3023675104207;;0;;;;;0;1;;;;;;Idéale pour accessoiriser votre intérieur pendant vos longues soirées d’hiver, la <strong>bougie décorative chouette</strong> deviendra très vite votre petit compagnon préféré ! <br/><br/>En association harmonieuse, sous la douceur des tons beiges, l’effet patiné confère à cette <a href="/68-bougies-deco">bougie décorative</a> tout le charme de l’authenticité. <br/><br/> Pour une déco de saison, accompagnez la bougie chouette de quelques brindilles et <a href="/2510496-bougie-decorative-patinee-pomme-de-pin-10-5cm-beige.html">bougies décoratives patinées pomme de pin 10,5cm</a>. <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative patinée chouette 9,5cm beige;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie chouette, bougie beige;Idéale pour accessoiriser votre intérieur pendant vos longues soirées d’hiver, la bougie décorative chouette deviendra votre petit compagnon préféré !;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-420-1.jpg,../import/wood-essentiel/2-510-420-2.jpg,../import/wood-essentiel/2-510-420-6.jpg,;0;Hauteur:95,Diamètre:65,Type de produit:Bougies décoratives,Durée de combustion: +/-40,Tranche de combustion:35 à 45 heures,Collection:Wood essentiel;0;;0;0;0;0;0;1
2510425;0;Bougie décorative patinée chouette 11,5cm beige;113,78;13,75;1;;0;;;;;2510425;;Bougies la Française;Bougies la Française;3023675104252;;0;;;;;0;1;;;;;;Les petits animaux de la forêt s’inviteraient volontiers dans votre salon… Et parmi eux, la <strong>bougie décorative chouette</strong> a revêtu son plus beau plumage pour pénétrer dans votre petit nid douillet. <br/><br/> Compagnon de soirée parfait pour illuminer vos longues soirées d’hiver, ce petit ami de cire sait aussi se faire discret… D’une couleur beige patinée à la main, cette <a href="/68-bougies-deco">bougie décorative</a> ne passera tout de même pas inaperçue aux yeux de vos invités !  <br/><br/> Pour une déco encore plus forestière, déposez votre <strong>bougie chouette</strong> sur un plateau en bois, et disposez quelques branchages et <a href="/2510496-bougie-decorative-patinee-pomme-de-pin-10-5cm-beige.html">bougies décoratives patinées pomme de pin 10,5cm</a>…Effet naturel garanti ! <br/><br/>;;Bougie décorative patinée chouette 11,5cm beige;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie chouette, bougie beige;La bougie décorative chouette a revêtu son plus beau plumage pour pénétrer dans votre petit nid douillet et illuminer vos longues soirées d’hiver.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-425-1.jpg,../import/wood-essentiel/2-510-425-2.jpg,../import/wood-essentiel/2-510-425-6.jpg;0;Hauteur:115,Diamètre:80,Poids:325,Type de produit:Bougies décoratives,Durée de combustion: +/-60,Tranche de combustion:55 à 75 heures,Collection:Wood essentiel;0;;0;0;0;0;0;1
2510496;0;Bougie décorative patinée pomme de pin 10,5cm beige;113,78;12,08;1;;0;;;;;2510496;;Bougies la Française;Bougies la Française;3023675104962;;0;;;;;10;1;;;;;;Pour agrémenter votre intérieur d’une jolie touche naturelle, les <strong>pommes de pin</strong> sont des décorations idéales en cette saison ! Plus vraie que nature, la <strong>bougie en forme de pomme de pin</strong> surprendra vos amis. <br/><br/> Patinée et blanchie à la main, cette <a href="/68-bougies-deco">bougie décorative</a> se dispose sur un plateau en bois accompagnée de quelques branchages… Voilà une déco simple et épurée, sublimant la chaleureuse douceur de tonalités boisées. <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative patinée pomme de pin 10,5cm beige;bougie, bougie décorative, bougies déco, bougies décoratives, bougies Noël, bougie pomme de pin;Plus vraie que nature, la bougie en forme de pomme de pin beige patinée à la main surprendra vos invités.;;;;1;;2015-10-01;1;../import/wood-essentiel/2-510-496-1.jpg,../import/wood-essentiel/2-510-496-5bis.jpg,../import/wood-essentiel/2-510-496-5.jpg;0;Hauteur:105,Diamètre:80,Poids:280,Type de produit:Bougies décoratives,Durée de combustion: +/-50,Tranche de combustion:45 à 55 heures,Collection:Wood essentiel;0;;0;0;0;0;0;1
2700315;0;Photophore verre fumé gravure branches 12,5cm;113,78;13,25;1;;0;;;;;2700315;;Bougies la Française;Bougies la Française;3023677003157;;0;;;;;15;1;;;;;;Ce <strong>photophore motif branches</strong> décline la lumière selon vos envies. En verre fumé, le <strong>photophore</strong> filtre l’intensité de la flamme pour créer une ambiance douce et apaisante… Tandis que les branches gravées sur le verre rendent l’atmosphère plus chaleureuse, tout en apportant de l’élégance à votre pièce. <br/><br/> Ce photophore s’utilise idéalement avec la <a href="/2240202-bougie-ronde-8cm-23h-ivoire.html">bougie ronde ø8cm ivoire</a>.</p>;;Photophore verre fumé gravure branches 12,5cm;Photophore, Photophore verre, photophore verre fumé, photophore noël, photophore branche, photophore nature, déco Noël;En verre fumé, le photophore verre fumé motif branches filtre l’intensité de la flamme pour créer une ambiance douce et apaisante…;;;;1;;2015-10-01;1;../import/wood-essentiel/2-700-315-1.jpg,../import/wood-essentiel/2-700-315-5.jpg,../import/wood-essentiel/2-700-315-320-5.jpg;0;Hauteur:125,Diamètre:100,Type de produit:Photophores,Collection:Wood essentiel;0;;0;0;0;0;0;1
