"ID";"Active";"Quantity"
"2423060";"1";"43"
"2425660";"1";"36"
"2386800";"0";"0"
"2386810";"0";"0"
"2386820";"0";"0"
"2386830";"0";"0"
"2386840";"0";"0"
"2386850";"0";"0"
"2386935";"0";"0"
"2386945";"0";"0"
"2386955";"0";"0"
"2386915";"0";"0"
"2386925";"1";"26"
"2386905";"0";"0"
"2391305";"1";"13"
"2391505";"0";"0"
"2391405";"1";"20"
"2391605";"0";"0"
"2391705";"0";"0"
"2391375";"1";"11"
"2391575";"0";"0"
"2391475";"1";"23"
"2391675";"1";"13"
"2391775";"0";"0"
"2391325";"0";"0"
"2391525";"1";"8"
"2391425";"1";"15"
"2391625";"1";"11"
"2391725";"0";"0"
"2391315";"0";"0"
"2391515";"1";"10"
"2391415";"1";"33"
"2391615";"0";"0"
"2391715";"0";"0"
"2391355";"1";"24"
"2391555";"1";"9"
"2391455";"1";"17"
"2391655";"0";"0"
"2391755";"0";"0"
"2391365";"1";"13"
"2391565";"1";"10"
"2391465";"1";"11"
"2391665";"0";"0"
"2391765";"0";"0"
"2586556";"1";"10"
"2586584";"1";"13"
"2586526";"1";"22"
"2586531";"1";"13"
"2586449";"1";"24"
"2586401";"1";"22"
"2586436";"1";"30"
"2586414";"1";"23"
"2437400";"1";"20"
"2437800";"1";"21"
"2437700";"1";"14"
"2437600";"1";"14"
"2437500";"1";"28"
"2240249";"1";"20"
"2240201";"1";"28"
"2240202";"1";"35"
"2240214";"1";"27"
"2240231";"1";"19"
"2240284";"1";"30"
"2240226";"1";"55"
"2240252";"1";"45"
"2230702";"1";"80"
"2230714";"1";"30"
"2230731";"1";"21"
"2230784";"1";"28"
"2230726";"1";"29"
"2230752";"1";"30"
"2230725";"1";"38"
"2230756";"1";"99"
"2230718";"1";"23"
"2230787";"1";"107"
"2230549";"1";"24"
"2230501";"1";"26"
"2230502";"1";"43"
"2230514";"1";"30"
"2230531";"1";"28"
"2230584";"1";"21"
"2230526";"1";"29"
"2230552";"1";"28"
"2230525";"1";"30"
"2230556";"1";"30"
"2230518";"1";"21"
"2230587";"1";"23"
"2230649";"1";"26"
"2230601";"1";"32"
"2230602";"1";"41"
"2230614";"1";"29"
"2230631";"1";"29"
"2230684";"1";"30"
"2230626";"1";"30"
"2230652";"1";"20"
"2230625";"1";"30"
"2230656";"1";"20"
"2230618";"1";"20"
"2230687";"1";"33"
"2230349";"1";"48"
"2230301";"1";"26"
"2230302";"1";"50"
"2230314";"1";"50"
"2230331";"1";"20"
"2230384";"1";"20"
"2230326";"1";"27"
"2230352";"1";"20"
"2230325";"1";"20"
"2230356";"1";"19"
"2230318";"1";"20"
"2230387";"1";"24"
"2439130";"0";"0"
"2439120";"0";"0"
"2439110";"0";"0"
"2253400";"1";"30"
"2135936";"1";"78"
"2025300";"1";"42"
"2256100";"1";"49"
"2256200";"1";"32"
"2796200";"1";"34"
"2797700";"1";"40"
"2797300";"1";"41"
"2262200";"1";"40"
"2262100";"1";"29"
"2452455";"1";"24"
"2150500";"1";"101"
"2122200";"0";"0"
"2588600";"0";"0"
"2389300";"1";"15"
"2204001";"1";"19"
"2204002";"1";"150"
"2204044";"1";"14"
"2204056";"1";"10"
"2204041";"1";"17"
"2204033";"1";"13"
"2204004";"1";"13"
"2204014";"1";"11"
"2204052";"1";"15"
"2204049";"1";"15"
"2204008";"1";"13"
"2204005";"1";"14"
"2204084";"1";"18"
"2204090";"1";"18"
"2204029";"1";"167"
"2204026";"1";"17"
"2204087";"1";"20"
"2204081";"1";"15"
"2100549";"1";"18"
"2100501";"1";"15"
"2100502";"1";"14"
